STATION,lat,lon,wiki
BROADWAY-EAST NEW YORK,40.6789194,-73.9034528,https://en.wikipedia.org/wiki/Broadway_Junction_(New_York_City_Subway)
14TH STREET & 7TH AVENUE,40.738553,-73.999682,
CASTLE HILL AVENUE,40.834139,-73.851686,https://en.wikipedia.org/wiki/Castle_Hill_Avenue_(IRT_Pelham_Line)
WESTCHESTER SQUARE,40.840567,-73.842072,https://en.wikipedia.org/wiki/Westchester_Square%E2%80%93East_Tremont_Avenue_(IRT_Pelham_Line)
BOROUGH HALL - COURT STREET,40.693655,-73.990216,https://en.wikipedia.org/wiki/Borough_Hall/Court_Street_(New_York_City_Subway)
CHURCH AVENUE & NOSTRAND AV,40.650775,-73.949574,https://en.wikipedia.org/wiki/Church_Avenue_(IND_Culver_Line)
FLATBUSH AVE & NOSTRAND AV,40.632809,-73.947652,
23RD STREET & 8TH AVENUE,40.745512,-73.998634,https://en.wikipedia.org/wiki/23rd_Street_(Manhattan)
FORDHAM RD/GRAND CONCOURSE,40.862414,-73.897133,https://en.wikipedia.org/wiki/Fordham_Road_(IND_Concourse_Line)
SEVENTH AVENUE & WEST 53RD,40.762979,-73.981888,
PARSONS BLVD & HILLSIDE AV,40.70771,-73.802762,https://en.wikipedia.org/wiki/Parsons_Boulevard_(IND_Queens_Boulevard_Line)
169TH STREET & HILLSIDE AVE,40.710638,-73.793063,https://en.wikipedia.org/wiki/169th_Street_(IND_Queens_Boulevard_Line)
50TH STREET & 7TH AVENUE,40.761095,-73.983261,https://en.wikipedia.org/wiki/50th_Street_station_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
242ND STREET & BROADWAY,40.889222,-73.898583,https://en.wikipedia.org/wiki/Van_Cortlandt_Park%E2%80%93242nd_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
CANAL STREET,40.71806,-74.0,https://en.wikipedia.org/wiki/Canal_Street_(New_York_City_Subway)
FORDHAM ROAD & JEROME AVE,40.862761,-73.901053,https://en.wikipedia.org/wiki/Fordham_Road_station_(IRT_Jerome_Avenue_Line)
MORRISON AVE & WESTCHESTER,40.829495,-73.874474,https://en.wikipedia.org/wiki/Morrison_Avenue%E2%80%93Soundview_(IRT_Pelham_Line)
QUEENSBORO PLAZA,40.7506528,-73.9403444,https://en.wikipedia.org/wiki/Queensboro_Plaza_(New_York_City_Subway)
90TH STREET/ELMHURST AVENUE,40.74833,-73.87639,https://en.wikipedia.org/wiki/90th_Street%E2%80%93Elmhurst_Avenue_(IRT_Flushing_Line)
FRANKLIN AVE/EASTERN PKWY,40.670711,-73.958545,https://en.wikipedia.org/wiki/Franklin_Avenue/Botanic_Garden_(New_York_City_Subway)
KINGSTON AVE/EASTERN PKWY,40.669376,-73.942151,https://en.wikipedia.org/wiki/Kingston_Avenue_(IRT_Eastern_Parkway_Line)
BROAD STREET & WALL STREET,40.705,-74.0116,https://en.wikipedia.org/wiki/Broad_Street_(Manhattan)
175TH STREET/FT WASHINGTON,40.846541,-73.940091,https://en.wikipedia.org/wiki/175th_Street_(IND_Eighth_Avenue_Line)
SUTPHIN BLVD-HILLSIDE AVE,40.705726,-73.809714,https://en.wikipedia.org/wiki/Sutphin_Boulevard_(IND_Queens_Boulevard_Line)
BERGEN STREET-SMITH STREET,40.6872528,-73.9900056,https://en.wikipedia.org/wiki/Bergen_Street_(IND_Culver_Line)
KINGS HIGHWAY-MCDONALD AVE,40.6031861,-73.9723444,https://en.wikipedia.org/wiki/Kings_Highway_(IND_Culver_Line)
23RD STREET-PARK AVE SOUTH,40.740169,-73.98644,https://en.wikipedia.org/wiki/23rd_Street_(IRT_Lexington_Avenue_Line)
125TH STREET-LEXINGTON AVE,40.804259,-73.937473,https://en.wikipedia.org/wiki/125th_Street_(IRT_Lexington_Avenue_Line)
MOSHOLU PARKWAY-JEROME AVE,40.879711,-73.884687,https://en.wikipedia.org/wiki/Mosholu_Parkway_(IRT_Jerome_Avenue_Line)
HUNTERS PT AVE-49TH AVE,40.7423806,-73.9492583,https://en.wikipedia.org/wiki/Hunters_Point_Avenue_(IRT_Flushing_Line)
NEWKIRK AVE-NOSTRAND AVE,40.639912,-73.94846,https://en.wikipedia.org/wiki/Newkirk_Avenue_(IRT_Nostrand_Avenue_Line)
SHEEPSHEAD BAY ROAD,40.587168,-73.953266,https://en.wikipedia.org/wiki/Sheepshead_Bay_(BMT_Brighton_Line)
MYRTLE AVE-GATES AVENUE,40.699678,-73.911776,https://en.wikipedia.org/wiki/Myrtle_Avenue_(BMT_Jamaica_Line)
WEST 4TH ST-WASHINGTON SQ,40.731682,-74.000945,https://en.wikipedia.org/wiki/West_Fourth_Street%E2%80%93Washington_Square_(New_York_City_Subway)
CANAL STREET-LISPENARD ST,40.721703,-74.005134,
QUEENS PLAZA-JACKSON AVE,40.748915,-73.937387,https://en.wikipedia.org/wiki/Queens_Plaza_(IND_Queens_Boulevard_Line)
71ST AVE-CONTINENTAL AVE,40.721404,-73.844004,https://en.wikipedia.org/wiki/Forest_Hills%E2%80%9371st_Avenue_(IND_Queens_Boulevard_Line)
ESSEX ST-DELANCEY ST,40.71851,-73.988199,https://en.wikipedia.org/wiki/Delancey_Street/Essex_Street_(New_York_City_Subway)
96TH STREET-LEXINGTON AVE,40.785773,-73.950949,https://en.wikipedia.org/wiki/96th_Street_(IRT_Lexington_Avenue_Line)
241ST ST-WHITE PLAINS RD,40.903,-73.85,https://en.wikipedia.org/wiki/Wakefield%E2%80%93241st_Street_(IRT_White_Plains_Road_Line)
HUNTS PT AVE-SOUTHERN BLVD,40.820565,-73.89164,https://en.wikipedia.org/wiki/Hunts_Point_Avenue_(IRT_Pelham_Line)
61ST STREET-ROOSEVELT AVE,40.7456083,-73.9029667,https://en.wikipedia.org/wiki/61st_Street%E2%80%93Woodside_(IRT_Flushing_Line)
PARKSIDE AVE-OCEAN AVE,40.65535,-73.961651,https://en.wikipedia.org/wiki/Parkside_Avenue_(BMT_Brighton_Line)
NEWKIRK PLAZA,40.6357,-73.963,https://en.wikipedia.org/wiki/Newkirk_Plaza_(BMT_Brighton_Line)
AVENUE U-EAST 16TH STREET,40.598875,-73.955841,https://en.wikipedia.org/wiki/Avenue_U_(BMT_Brighton_Line)
STILLWELL AVE-CONEY ISLAND,40.5773417,-73.981139,https://en.wikipedia.org/wiki/Coney_Island%E2%80%93Stillwell_Avenue_(New_York_City_Subway)
ROCKAWAY PKWY-GLENWOOD RD,40.645382,-73.902626,https://en.wikipedia.org/wiki/Canarsie%E2%80%93Rockaway_Parkway_(BMT_Canarsie_Line)
UTICA AVE-STUYVESANT AVE,40.679239,-73.929062,https://en.wikipedia.org/wiki/Utica_Avenue_(IND_Fulton_Street_Line)
TREMONT AVE-179TH ST,40.849463,-73.905973,https://en.wikipedia.org/wiki/Tremont_Avenue_(IND_Concourse_Line)
KINGSBRIDGE RD-196TH ST,40.866146,-73.894343,https://en.wikipedia.org/wiki/Kingsbridge_Road_(IND_Concourse_Line)
BEDFORD PARK BLVD-203RD ST,40.872507,-73.887906,https://en.wikipedia.org/wiki/Bedford_Park_Boulevard_(IND_Concourse_Line)
205TH ST-BAINBRIDGE AVE,40.874908,-73.879452,https://en.wikipedia.org/wiki/Norwood%E2%80%93205th_Street_(IND_Concourse_Line)
UNION TURNPIKE-KEW GARDENS,40.714151,-73.830786,https://en.wikipedia.org/wiki/Kew_Gardens%E2%80%93Union_Turnpike_(IND_Queens_Boulevard_Line)
116TH STREET-COLUMBIA,40.808,-73.964,https://en.wikipedia.org/wiki/116th_Street%E2%80%93Columbia_University_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
ASTOR PLACE-4 AVENUE,40.72972,-73.99167,https://en.wikipedia.org/wiki/Astor_Place_(IRT_Lexington_Avenue_Line)
KINGSBRIDGE RD-JEROME AVE,40.867444,-73.897433,https://en.wikipedia.org/wiki/Kingsbridge_Road_(IRT_Jerome_Avenue_Line)
ELDER AVE-WESTCHESTER AVE,40.828553,-73.879194,https://en.wikipedia.org/wiki/Elder_Avenue_(IRT_Pelham_Line)
14TH STREET-6TH AVENUE,40.737328,-73.996796,https://en.wikipedia.org/wiki/14th_Street/Sixth_Avenue_(New_York_City_Subway)
66TH STREET-BROADWAY,40.774,-73.982,https://en.wikipedia.org/wiki/66th_Street%E2%80%93Lincoln_Center_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
TOMPKINSVILLE,40.6368,-74.0748,https://en.wikipedia.org/wiki/Tompkinsville_station
79TH STREET-BROADWAY,40.784,-73.98,https://en.wikipedia.org/wiki/79th_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
86TH STREET-BROADWAY,40.7883,-73.9764,https://en.wikipedia.org/wiki/86th_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
96TH STREET-BROADWAY,40.7941,-73.972,https://en.wikipedia.org/wiki/96th_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
137TH STREET-BROADWAY,40.821,-73.954,https://en.wikipedia.org/wiki/137th_Street%E2%80%93City_College_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
14TH STREET-UNION SQUARE,40.73472,-73.99028,https://en.wikipedia.org/wiki/14th_Street%E2%80%93Union_Square_(New_York_City_Subway)
7TH AVENUE-PARK PLACE,40.679352,-73.973694,https://en.wikipedia.org/wiki/Seventh_Avenue_(BMT_Brighton_Line)
BRIGHTON BEACH-CONEY ISLAND,40.577598,-73.961565,https://en.wikipedia.org/wiki/Brighton_Beach_(BMT_Brighton_Line)
207TH STREET-BROADWAY,40.8644,-73.9189,https://en.wikipedia.org/wiki/207th_Street_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
